frame,time_s,cx,cy,radius,status,target_id,num_inliers
0,0.0,,,,lost,1,0
1,0.03333333333333333,,,,lost,1,0
2,0.06666666666666667,,,,lost,1,0
3,0.1,,,,lost,1,0
4,0.13333333333333333,,,,lost,1,0
5,0.16666666666666666,,,,lost,1,0
6,0.2,,,,lost,1,0
7,0.23333333333333334,,,,lost,1,0
8,0.26666666666666666,,,,lost,1,0
9,0.3,,,,lost,1,0
10,0.3333333333333333,,,,lost,1,0
11,0.36666666666666664,,,,lost,1,0
12,0.4,,,,lost,1,0
13,0.43333333333333335,,,,lost,1,0
14,0.4666666666666667,,,,lost,1,0
15,0.5,,,,lost,1,0
16,0.5333333333333333,,,,lost,1,0
17,0.5666666666666667,,,,lost,1,0
18,0.6,,,,lost,1,0
19,0.6333333333333333,,,,lost,1,0
20,0.6666666666666666,,,,lost,1,0
21,0.7,,,,lost,1,0
22,0.7333333333333333,,,,lost,1,0
23,0.7666666666666667,,,,lost,1,0
24,0.8,,,,lost,1,0
25,0.8333333333333334,,,,lost,1,0
26,0.8666666666666667,,,,lost,1,0
27,0.9,,,,lost,1,0
28,0.9333333333333333,,,,lost,1,0
29,0.9666666666666667,,,,lost,1,0
30,1.0,,,,lost,1,0
31,1.0333333333333334,,,,lost,1,0
32,1.0666666666666667,,,,lost,1,0
33,1.1,,,,lost,1,0
34,1.1333333333333333,,,,lost,1,0
35,1.1666666666666667,,,,lost,1,0
36,1.2,,,,lost,1,0
37,1.2333333333333334,,,,lost,1,0
38,1.2666666666666666,,,,lost,1,0
39,1.3,,,,lost,1,0
40,1.3333333333333333,,,,lost,1,0
41,1.3666666666666667,,,,lost,1,0
42,1.4,,,,lost,1,0
43,1.4333333333333333,,,,lost,1,0
44,1.4666666666666666,,,,lost,1,0
45,1.5,,,,lost,1,0
46,1.5333333333333334,,,,lost,1,0
47,1.5666666666666667,,,,lost,1,0
48,1.6,,,,lost,1,0
49,1.6333333333333333,,,,lost,1,0
50,1.6666666666666667,,,,lost,1,0
51,1.7,,,,lost,1,0
52,1.7333333333333334,,,,lost,1,0
53,1.7666666666666666,,,,lost,1,0
54,1.8,,,,lost,1,0
55,1.8333333333333333,,,,lost,1,0
56,1.8666666666666667,,,,lost,1,0
57,1.9,,,,lost,1,0
58,1.9333333333333333,,,,lost,1,0
59,1.9666666666666666,,,,lost,1,0
60,2.0,,,,lost,1,0
61,2.033333333333333,,,,lost,1,0
62,2.066666666666667,,,,lost,1,0
63,2.1,,,,lost,1,0
